"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","sampled","gin_seed","patch","validpatch","success","avgtime","speedup","intermediate"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","true","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","true","false","-","--","true"
"3","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","94","|","false","true","0","0.0","false"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","false","true","0","0.0","false"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","false","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","true","true","-","--","true"
"4","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","83","|","false","true","0","0.0","false"
