"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","WEAKMUTATION_Coverage","BRANCH_Coverage","LINE_Coverage","EXCEPTION_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"8","locogp.SortBubble","LINE","1","10","0.0","7821","48","93","57","75","100","68","|","false","true","0","0.0"
"9","locogp.SortBubble","LINE","3","12","0.0","7605","16","96","100","100","100","51","|","false","true","0","0.0"
"9","locogp.SortBubble","LINE","2","12","0.0","7605","16","94","71","88","100","51","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:34 |","true","true","1713090","99.54144"
"9","locogp.SortBubble","LINE","1","12","0.0","7605","16","7","14","25","100","51","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 | gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:18 -> examples\locoGP\src\main\java\locogp\SortBubble.java:34 | gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 -> examples\locoGP\src\main\java\locogp\SortBubble.java:65:66 | gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:101 -> examples\locoGP\src\main\java\locogp\SortBubble.java:65:76 | gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 -> examples\locoGP\src\main\java\locogp\SortBubble.java:51 |","true","false","284560550","-188.57135"
"9","locogp.SortBubble","LINE","1","12","0.0","7605","16","7","14","25","100","51","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 | gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:18 -> examples\locoGP\src\main\java\locogp\SortBubble.java:34 |","true","false","95686540","7.630013"
"10","locogp.SortBubble","EXCEPTION","2","9","0.3333333333333333","6990","32","94","86","100","100","77","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:18 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:19 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:90 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:65 | gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 -> examples\locoGP\src\main\java\locogp\SortBubble.java:19 | gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:90 -> examples\locoGP\src\main\java\locogp\SortBubble.java:18 |","true","false","93699140","57.10317"
"10","locogp.SortBubble","EXCEPTION","1","9","0.3333333333333333","6990","32","44","43","38","100","77","|","false","true","0","0.0"
"10","locogp.SortBubble","EXCEPTION","1","9","0.3333333333333333","6990","32","44","43","38","100","77","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:66 -> examples\locoGP\src\main\java\locogp\SortBubble.java:18 |","true","true","189836930","-88.97306"
"10","locogp.SortBubble","EXCEPTION","1","9","0.3333333333333333","6990","32","44","43","38","100","77","|","false","true","0","0.0"
"11","locogp.SortBubble","EXCEPTION","2","12","0.3333333333333333","7015","31","44","43","38","100","32","|","false","true","0","0.0"
"11","locogp.SortBubble","EXCEPTION","1","12","0.3333333333333333","7015","31","92","43","75","100","32","|","false","true","0","0.0"
"11","locogp.SortBubble","EXCEPTION","1","12","0.3333333333333333","7015","31","92","43","75","100","32","|","false","true","0","0.0"
"11","locogp.SortBubble","EXCEPTION","1","12","0.3333333333333333","7015","31","92","43","75","100","32","| gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 -> examples\locoGP\src\main\java\locogp\SortBubble.java:65:76 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","false","187632960","15.788526"
"12","locogp.SortBubble","EXCEPTION","2","14","0.3333333333333333","9971","56","92","43","75","100","73","|","false","true","0","0.0"
"12","locogp.SortBubble","EXCEPTION","1","14","0.3333333333333333","9971","56","45","43","38","100","73","|","false","true","0","0.0"
"12","locogp.SortBubble","EXCEPTION","1","14","0.3333333333333333","9971","56","45","43","38","100","73","|","false","true","0","0.0"
"12","locogp.SortBubble","EXCEPTION","1","14","0.3333333333333333","9971","56","45","43","38","100","73","|","false","true","0","0.0"
"49","locogp.SortBubble","MANUAL","","0","0","0",,"97","86","88","100",,"|","false","true","0","0.0"
